Name;Symbol;RIC;Start Date;End Date;Hist.;End Date;Category;Market;Source;Frequency;Adjustment;Dataset;Forecast;End Year;Full Name;Activity
SAX SHARE PRICE INDEX (EP);SXSHRPRCF;aSKSHRPRCF;8/1/1993;8/31/2020;1993;Aug 2020;Economics;Slovakia;Bratislava Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Slovak Republic, Bratislava SE, SAX Index, End of Period, 1993SEP14 = 100;Active
SPI SHARE PRICE INDEX (EP);SWSHRPRCF;aCHSHRPRCF/C;9/1/1987;7/31/2020;1987;Jul 2020;Economics;Switzerland;SNB - Swiss National Bank;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Switzerland, SPI Share Price Index (EP), Index, 1987JUN1 = 1000;Active
ISE NATIONAL 100 SHARE PRICE INDEX;TKSHRPRCF;aTRSHRPRCF/C;1/1/1988;8/31/2020;1988;Aug 2020;Economics;Turkey;Istanbul Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Turkey, ISE National 100 Share Price Index, Index, 1986JAN1 = 100;Active
BANGKOK STOCK EXCHANGE PRICE INDEX (EP);THSHRPRCF;aTHSHRPRCF;4/1/1975;8/31/2020;1975;Aug 2020;Economics;Thailand;Thailand SE;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Thailand, Set, Set Index, End of Period, 1975APR30 = 100;Active
DSE ALL SHARE INDEX;TNSHRPRCF;aTZSHRPRCF;12/1/2006;8/31/2020;2006;Aug 2020;Economics;Tanzania;Dar es Salaam Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Tanzania, United Republic of, DSE All Share Index;Active
BRVM 10 INDEX;TOSHRPRCF;aTGSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Togo;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Togo, BRVM, Top Ten Index;Active
TSE TUNINDEX;TUSHRPRCF;aTNSHRPRCF;12/1/1997;8/31/2020;1997;Aug 2020;Economics;Tunisia;Tunis Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Tunisia, Tunindex, 1997DEC31 = 1000;Active
TAIWAN STOCK EXCHANGE WEIGHTED TAIEX PRICE INDEX (EP);TWSHRPRCF;aTWSHRPRCF;1/1/1967;8/31/2020;1967;Aug 2020;Economics;Taiwan;Taiwan Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Taiwan, TAIEX, Weighted Index, End of Period, 1966JAN1 = 100;Active
UGANDA SE ALL SHARE INDEX;UGSHRPRCF;aUGSHRPRCF/C;8/1/2004;7/31/2020;2004;Aug 2020;Economics;Uganda;Uganda Securities Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Uganda, Uganda Securities Exchange, All Share Index, 2001DEC31 = 100;Active
FT ALL SHARE INDEX (EP);UKSHRPRCF;aGBSHRPRCF;4/1/1962;8/31/2020;1962;Aug 2020;Economics;United Kingdom;FTSE International Limited;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;United Kingdom, Financial Times Stock Exchange, All-Share, Index, Price Return, End of Period, 1962APR10 = 100;Active
PFTS INDEX (EP);URSHRPRCF;aUASHRPRCF;10/1/1997;8/31/2020;1997;Aug 2020;Economics;Ukraine;PFTS Ukraine Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Ukraine, PFTS Index (EP), Index;Active
DOW JONES INDUSTRIALS SHARE PRICE INDEX (EP);USSHRPRCF;aUSSHRPRCF;1/1/1950;8/31/2020;1950;Aug 2020;Economics;United States;S&P Dow Jones Indices;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;United States, Dow Jones, Averages, Industrial Index, Price Return, End of Period;Active
BRVM 10 INDEX;UVSHRPRCF;aBFSHRPRCF;9/1/1998;8/31/2020;1998;Aug 2020;Economics;Burkina Faso;Bourse Regionale des Valeurs Mobilieres;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Burkina Faso, BRVM, Top Ten Index;Active
NSX LOCAL INDEX;WASHRPRCF;aNASHRPRCF;7/1/2002;8/31/2020;2002;Aug 2020;Economics;Namibia;Namibian Stock Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Namibia, Namibia SE, Local Index;Active
LUSAKA SE ALL SHARE INDEX;ZMSHRPRCF;aZMSHRPRCF/C;1/1/1997;8/31/2020;1997;Aug 2020;Economics;Zambia;Lusaka Securities Exchange;Monthly;Price index, not seasonally adjusted;National Sources;Historical;2020;Zambia, Lusaka SE, All Share Index, 1997JAN2 = 100;Active
